latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
48.06289,-102.34827,326.87,0.44,0.46,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.98,1.72,N
48.06335,-102.35417,298.01,0.44,0.46,2026-08-01,824,N20,VIIRS,n,2.0NRT,285.64,1.72,N
48.09744,-102.9117,309.2,0.47,0.48,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.63,1.1,N
48.22312,-92.25071,304.56,0.39,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.13,0.79,N
48.26305,-92.24094,309.72,0.39,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.97,0.98,N
48.2663,-92.23973,326.82,0.39,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,292.41,1.51,N
48.26956,-92.23851,301.22,0.39,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.53,1.51,N
48.27042,-92.24361,301.98,0.39,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.01,0.79,N
48.2786,-92.23302,305.03,0.39,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.34,1.05,N
48.28772,-92.2459,311.22,0.39,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.56,0.64,N
48.3427,-102.53013,299.57,0.46,0.47,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.57,0.4,N
48.4763,-102.4673,309.71,0.45,0.47,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.17,0.71,N
48.55202,-103.73344,301.26,0.52,0.5,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.18,0.89,N
48.56989,-103.73069,301.54,0.52,0.5,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.4,0.49,N
48.57284,-103.36409,298.48,0.5,0.49,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.54,1.18,N
48.63405,-103.30817,299.86,0.5,0.49,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.64,0.71,N
48.63728,-103.35601,300.41,0.5,0.49,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.32,0.45,N
48.68083,-103.80936,299.61,0.52,0.5,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.75,0.45,N
49.35503,-102.72762,308.85,0.48,0.48,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.52,1.23,N
34.98107,-90.0397,305.87,0.5,0.49,2026-08-01,826,N20,VIIRS,n,2.0NRT,292.04,3.95,N
35.40237,-94.43666,306.24,0.45,0.39,2026-08-01,826,N20,VIIRS,n,2.0NRT,295.44,0.59,N
35.55263,-93.63662,312.81,0.48,0.4,2026-08-01,826,N20,VIIRS,n,2.0NRT,294.99,1.67,N
35.61023,-89.94267,309.97,0.49,0.48,2026-08-01,826,N20,VIIRS,n,2.0NRT,290.91,1.87,N
35.61116,-89.94484,322.66,0.49,0.48,2026-08-01,826,N20,VIIRS,n,2.0NRT,291.2,3.09,N
35.61144,-89.94785,314.52,0.49,0.48,2026-08-01,826,N20,VIIRS,n,2.0NRT,290.6,1.87,N
35.65026,-89.9346,324.92,0.49,0.48,2026-08-01,826,N20,VIIRS,n,2.0NRT,291.27,3.99,N
35.74246,-97.2387,320.64,0.39,0.36,2026-08-01,826,N20,VIIRS,n,2.0NRT,295.27,1.25,N
35.89318,-89.78052,316.91,0.49,0.49,2026-08-01,826,N20,VIIRS,n,2.0NRT,289.82,3.15,N
35.93716,-89.7123,323.83,0.49,0.49,2026-08-01,826,N20,VIIRS,n,2.0NRT,290.9,2.75,N
35.94705,-89.71458,305.28,0.49,0.49,2026-08-01,826,N20,VIIRS,n,2.0NRT,290.21,1.12,N
36.17699,-93.50449,310.76,0.48,0.4,2026-08-01,826,N20,VIIRS,n,2.0NRT,292.23,0.64,N
36.17809,-91.82683,321.58,0.57,0.43,2026-08-01,826,N20,VIIRS,n,2.0NRT,292.35,3.09,N
36.1949,-95.8117,321.76,0.4,0.37,2026-08-01,826,N20,VIIRS,n,2.0NRT,297.21,2.05,N
36.24068,-90.94658,308.01,0.42,0.45,2026-08-01,826,N20,VIIRS,n,2.0NRT,292.64,1.37,N
36.24473,-90.94524,311.82,0.42,0.45,2026-08-01,826,N20,VIIRS,n,2.0NRT,292.58,1.37,N
36.51765,-97.83604,304.24,0.38,0.36,2026-08-01,826,N20,VIIRS,n,2.0NRT,293.61,1.05,N
